idea_name,description,general_benefits,region,submitted_estimate,service_line,category,original,actual_benefits_wc,actual_benefits_savings,expert_overview,expert_ease_implementation,expert_scalability,expert_crowd_validation,expert_weighted_avg,judge_overview,judge_ease_implementation,judge_scalability,judge_crowd_validation,judge_weighted_avg,chatgpt_distruption_overview,chatgpt_ease_implementation,chatgpt_scalability,chatgpt_benefits,chatgpt_rationale,finalist,winner
Italy Payment Terms Harmonization,"After assessing DSO opportunities, the team identified a significant payment terms harmonization opportunity across channels, in both Payment Terms and Cash Discounts, reason why they are currently focused on determining the right proposal that fits the commercial strategy while driving simplification, homogenization  and creating value throughout Free Cash Flow (via DSO-PWC) improvements and even Cost Savings opportunity by changing the way we are investing cash discounts.","USD$4.2M improvement in AR approx. 8 days in DSO (both on a monthly basis)

To simplify the payment terms offer to Italy customers while standardizing them by channel and time frame across all the customers involved with a possible reduction of the cash discounts and terms as well.

Remove the End of Month condition which is currently one of the largest opportunities",EMEA,4200000,OTC,AR-Payment Terms,1,3946441,224992,10,2,8,10,7,10,2,8,10,7,4,3,3,,"This idea proposes to simplify payment terms for Italy customers while standardizing them by channel and time frame, which could lead to a reduction in cash discounts and terms. The estimated improvement in AR is USD 4.2M per month, with an 8-day reduction in DSO. While it is not entirely new, it is a creative way to improve Free Cash Flow. The ease of implementation is moderate, as it requires changes in commercial strategy and investment in cash discounts. The idea is replicable in other geographies, but not necessarily worldwide. The benefits are both quantitative and qualitative, making it a strong contender.",1,0
LAO Preliminary PWC Report Driving timely R&amp;Os,"Brief Project Description: PWC and CCC reports arrive after month end conclusion reason why providing preliminary results before month end, results critical to ensure Risks and Opportunities can be reviewed, assessed and action to improve the expected results. The team developed a communication working with HFM and directly in SAP providing subregional visibility and currency variations which is shared daily between WD-2 and +3 so that all the CCC workstreams get to take actions before month end",To increase PWC and CCC visibility before month end therefore driving key actions aimed to benefit the results before the actual month end occurs,LAO,0,GBS OPS,Forecast Improvement,1,0,0,5,3,9,2,5,  ,  ,  ,  ,  ,2,5,4,,"This idea proposes to provide preliminary PWC and CCC reports before month-end to ensure timely review, assessment, and action to improve expected results. While it is a good practice, it is not entirely disruptive. The ease of implementation is high, as it only requires communication with HFM and SAP. The idea is replicable in other geographies. However, the benefits are mostly qualitative, making it less attractive.",0,0
LAO Payment Runs Optimization (From 3 to 2),"During 2020 and considering COVID-19 reality, together the PTP and Procurement team, a proposal arise to negotiate with key vendors in order to move from 3 to only 2 payment runs so that we can take care of our cash and specially in countries with liquidity restrictions and even open bank loans. After generating vendor segmentation, assessing the process with the involved areas and IControl, the plan to only have 2 payment runs for vendors who accepted the change. NLAO the initiative is already.","Approx USD$1.5M per month, USD$18M  per year

To increase cash flow ending balance by changing the way in which KC is executing the payments to its vendors while still taking care of our Paid on Time metric as well as commercial relation with the vendors. Moving from 3 to 2 payment runs ensure a better AP strategy moreover considering 2020 Business Reality.

 ",LAO,1500000,PTP,AP-Payment Terms,1,47392618,1267031,10,6,8,3,7,10,6,8,3,7,3,4,4,,"This idea proposes to move from 3 to 2 payment runs with key vendors to improve cash flow ending balance. The estimated benefit is USD 1.5M per month, or USD 18M per year. While it is not entirely disruptive, it is a creative way to improve AP strategy. The ease of implementation is moderate, as it requires vendor segmentation and assessment with involved areas. The idea is replicable in other geographies. The benefits are mostly quantitative, making it a strong contender.",0,0
Global PWC General Ledger Benchmark,"Across KC, PWC estimation is standard in terms of CFR but not necessarily at General Ledger level. Preliminary exercises have already evidenced opportunities such as &ldquo;International Freights&rdquo; in LAO&rsquo;s DPO for USD$4.2M/month and the &ldquo;Accruals reducing Trade AR&rdquo;, recently launched in APAC (China), and is currently being assessed in LAO and EMEA for potential replication. These are some examples on how FCF can be improved from PWC results by standardizing and benchmarking inside KC","To carry out a GL benchmark across all PWC components and KC regions to both standardize and identify improvement opportunities from this accounting alignment.

USD$5M already detected from outstanding benchmarks in LAO.",Global,5000000,GBS OPS,Working Capital,1,0,0,5,2,10,10,6,5,2,10,10,6,3,3,4,,"This idea proposes to carry out a GL benchmark across all PWC components and KC regions to standardize and identify improvement opportunities. While it is not entirely disruptive, it is a good practice to improve FCF from PWC results. The ease of implementation is moderate, as it requires accounting alignment. The idea is replicable in other geographies. The benefits are mostly quantitative, but not as significant as other ideas.",1,0
CCC Playbook and CCC - Road to 0 Days,"LAO GBS, in partnership with Finance &amp; Supply Chain, led the CCC initiative across LAO to implement initiatives across DSO and DPO mitigating Fx volatility along the year and moving from a 6 days gap in May YTD results to a positive over delivering 0.8 days as of Aug YTD results vs. plan.  In July 2020, LAO had a new all-time record of 1.2 days total organization (0.2 in Consumer). Main workstreams: 1. Cash Playbook (45 plays) 2. Culture &amp; Awareness 3. Reporting &amp; Visibility","200% target execution by sub-region as of 2020 plan together with the Road to 0 Days program.

USD$10M (only estimating Pre Cost-USD$4M, Brazil Employee AR &ndash; USD$2M, AR Financial Vehicles in North and South &ndash; USD$4M which would be incremental Dec. 2020 vs. Dec 2019).",LAO,10000000,GBS OPS,Working Capital,1,0,0,4,5,8,2,5,  ,  ,  ,  ,  ,4,4,4,,"This idea proposes to implement initiatives across DSO and DPO to mitigate FX volatility and move towards 0 days. The estimated benefit is USD 10M, with a 200% target execution by sub-region. While it is not entirely new, it is a disruptive way to improve FCF. The ease of implementation is moderate, as it requires a playbook, culture and awareness, and reporting and visibility. The idea is replicable in other geographies. The benefits are both quantitative and qualitative, making it the strongest contender.",0,0
LAO Cash Process End to End Transformation-Revenue Assurance Project,"Currently, cash operations are segregated across all service lines acting as sub processes with their own priorities and ways of working. The purpose is to achieve an integration of all these workstreams in a single End to End to leverage standardization and cash benefits across the region by making an efficient cash path from the sale until the payments eliminating wastes across processes and determining the more efficient way to execute in excellence.","To integrate cash sub processes leveraging on Lean Six Sigma principles to

1. Drive effective standardization defining Best in Class process

2. Eliminate wastes and achieve integrated actions between the process flow and

3. Optimize Cash Flow across the region.

Project is currently in assessment diagnosis, will update cash benefit in the progress",LAO,0,GBS OPS,Working Capital,1,0,0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,4,3,4,4," The idea proposes to integrate cash sub-processes leveraging on Lean Six Sigma principles to drive effective standardization, eliminate wastes, and optimize cash flow across the region. While the idea is disruptive, it requires a mid-term implementation and is more country-specific. ",0,0
Improvisation on timeliness and unallocated cash - EMEA,Last six months trend of customer pattern of sending remittances has been shared with EMEA collection team which in turn will educate the customers in sharing of remittances on time &amp; will also educate them on their payment pattern which could improve cash flows,Receiving remittances on time,EMEA,0,OTC,Process Efficiency,1,0,0,2,2,5,1,2,  ,  ,  ,  ,  ,2,1,4,2," The idea proposes to educate customers on sharing remittances on time and their payment pattern to improve cash flows. While the idea is easy to implement, it has a low disruption overview and is more country-specific. ",0,0
Supply Chain Finance,"Cracow Supply Chain Finance Team is a Team dedicated only to Suppliers, who joined SCF CITI Programme, in which KC obliges to release invoices for payment within ten days. Joining the Programme is connected with negotiating (increasing) new payment terms, what improves DPO significantly, e.g. as a result of negotiating a payment term with one of our biggest Suppliers - Van Der Wal, Procurement Team has successfully increased from 90 to 150-days &ndash; this improves our DPO by c.$5M.","Working Capital Benefit + WACC/12 in USD: 52,283.00",EMEA,0,PTP,AP-Payment Terms,1,0,286054,2,9,7,8,6,2,9,7,8,6,2,2,4,4," The idea proposes to negotiate new payment terms with suppliers to improve DPO significantly. While the idea is easy to implement, it has a low disruption overview and is more country-specific. ",0,0
Intercompany Restructuration,"There are certain processes that being Intercompany are carried out by other groups, for example the process of posting inventory invoices.

Of the 18 LAO countries only 4 are posted in the GBS and the rest of them have contacts to perform that process, as well as the cleaning of Accounts Receivable.

Therefore, the proposal is to consolidate Intercompany in a single team that reports to a unique Senior Manager.","Simplification and efficiency of processes, clearer metrics and greater control of Intercompany tasks.",LAO,0,RTR,Intercompany,1,0,0,2,6,9,3,5,  ,  ,  ,  ,  ,3,3,4,3," The idea proposes to consolidate intercompany in a single team that reports to a unique Senior Manager to simplify and improve efficiency of processes. While the idea has a moderate disruption overview, it requires a mid-term implementation and is more country-specific. ",0,0
CAPEX Forecast Precision,"Currently CAPEX don't provide enough visibility on cashflow and it also cause Treasury team troubles to identify how much money they should reserve for each country. We hope to develop a way/tool for capital project managers, GBS Team and other stakeholders that might need this information when performing budgeting, forecasting or cash management activities to increase data accuracy. This tool would be able to forecast 2-6 months cash paying for CAPEX, details of CAPEX budget and actual spending","By utilize this tool, we would be able to forecast accurately and place our fund correctly to each country and detail to each project. In between, it also save time for them to compile couple of report only able to come out this kind of data and analysis.",APAC,0,GBS OPS,Forecast Improvement,1,0,0,2,2,5,3,3,  ,  ,  ,  ,  ,3,3,4,3," The idea proposes to develop a tool for capital project managers and stakeholders to increase data accuracy and forecast 2-6 months cash paying for CAPEX. While the idea has a moderate disruption overview, it requires a mid-term implementation and is more country-specific. ",0,0
